timestamp,cpu_usage,ram_usage,disk_usage,net_sent,net_recv,process_count,uptime_seconds,label
2026-03-03 21:04:43.932676,8.2,88.3,14.8,3625803,4184017,342,1127391.136903286,1
2026-03-03 21:04:48.951364,6.1,88.2,14.8,3642283,4309230,342,1127396.1538801193,1
2026-03-03 21:04:53.969860,4.1,88.5,14.8,3663462,4314906,347,1127401.1661331654,1
2026-03-03 21:04:58.979191,5.6,88.1,14.8,3702928,4356369,345,1127406.1818993092,1
2026-03-03 21:05:03.996425,3.0,88.0,14.8,3716712,4539152,343,1127411.2034802437,1
2026-03-03 21:05:09.020226,8.3,88.4,14.8,3727239,4692457,342,1127416.2207810879,1
2026-03-03 21:05:14.035140,12.9,84.0,14.8,3757297,4821916,342,1127421.2375516891,0
2026-03-03 21:05:19.051826,15.0,84.6,14.8,3810032,4931687,342,1127426.2548174858,0
2026-03-03 21:05:24.069281,4.6,84.6,14.8,3840234,5075909,342,1127431.2672088146,0
2026-03-03 21:05:29.081229,13.3,84.9,14.8,3858855,5194578,343,1127436.2882249355,0
2026-03-03 21:05:34.107906,10.3,85.9,14.8,3886114,5430498,343,1127441.309577942,1
2026-03-03 21:05:39.124043,5.7,85.8,14.8,3904589,5620268,344,1127446.3269774914,1
2026-03-03 21:05:44.140207,2.6,85.9,14.8,3932137,5880908,344,1127451.3434696198,1
2026-03-03 21:05:49.157220,11.2,84.3,14.8,3940583,6050018,344,1127456.3555819988,0
2026-03-03 21:05:54.170635,19.1,83.8,14.8,3965572,6245182,341,1127461.3659112453,0
2026-03-03 21:05:59.178798,8.2,84.2,14.8,3988913,6385829,341,1127466.382692337,0
2026-03-03 21:06:04.198371,5.7,84.1,14.8,3999272,6604090,339,1127471.400692463,0
2026-03-03 21:06:09.218728,12.9,84.1,14.8,4016490,6774556,340,1127476.4158895016,0
2026-03-03 21:06:14.229521,2.5,84.1,14.8,4046649,6883175,340,1127481.431694746,0
2026-03-03 21:06:19.246143,11.2,84.5,14.8,4079647,7025423,342,1127486.4512557983,0
2026-03-03 21:06:24.265811,7.9,84.6,14.8,4113566,7299724,341,1127491.4685287476,0
2026-03-03 21:06:29.283640,8.6,84.7,14.8,4148120,7680890,341,1127496.4812278748,0
2026-03-03 21:06:34.294455,7.5,84.7,14.8,4176010,8103357,341,1127501.4986197948,0
2026-03-03 21:06:39.312675,8.8,84.6,14.8,4203129,8568836,341,1127506.5260186195,0
2026-03-03 21:06:44.340502,4.5,84.7,14.8,4219605,9147341,341,1127511.5443668365,0
2026-03-03 21:06:49.358829,9.9,84.8,14.8,4238324,9426199,341,1127516.5609316826,0
2026-03-03 21:06:54.374845,2.0,84.7,14.8,4238951,9426963,340,1127521.5798563957,0
2026-03-03 21:06:59.393381,5.9,84.8,14.8,4257690,9427838,340,1127526.5920653343,0
2026-03-03 21:07:04.408132,11.4,85.3,14.8,4271083,9435877,340,1127531.608631134,1
2026-03-03 21:07:09.421862,4.7,85.2,14.8,4300715,9548391,340,1127536.625056982,1
2026-03-03 21:07:14.439481,2.9,85.2,14.8,4341642,9725420,340,1127541.6419677734,1
2026-03-03 21:07:19.456168,7.0,83.6,14.8,4365350,9778004,339,1127546.6592092514,0
2026-03-03 21:07:24.473399,3.7,83.7,14.8,4381613,9789474,339,1127551.677056551,0
2026-03-03 21:07:29.491017,8.7,83.7,14.8,4433881,9821505,339,1127556.6886658669,0
2026-03-03 21:07:34.503646,8.4,83.8,14.8,4460821,9924022,339,1127561.7087936401,0
2026-03-03 21:07:39.523148,3.1,83.8,14.8,4474281,10028413,339,1127566.7270252705,0
2026-03-03 21:07:44.540962,7.2,84.0,14.8,4481069,10112729,339,1127571.7388064861,0
2026-03-03 21:07:49.551861,13.4,84.8,14.8,4495144,10205294,341,1127576.7482089996,0
2026-03-03 21:07:54.560993,2.7,84.8,14.8,4514616,10258196,341,1127581.7675273418,0
2026-03-03 21:07:59.582281,8.2,84.8,14.8,4543465,10335426,341,1127586.7873387337,0
2026-03-03 21:08:04.601159,5.2,84.6,14.8,4574567,10416110,341,1127591.802274704,0
2026-03-03 21:08:09.616794,10.6,84.7,14.8,4594836,10486669,341,1127596.819171667,0
2026-03-03 21:08:14.633376,4.1,84.6,14.8,4617744,10514893,341,1127601.8385751247,0
2026-03-03 21:08:19.654264,20.9,84.4,14.8,4646902,10561976,339,1127606.8716015816,0
2026-03-03 21:08:24.686077,4.1,84.5,14.8,4669313,10620667,339,1127611.8912963867,0
2026-03-03 21:08:29.706173,4.6,84.4,14.8,4696067,10700275,339,1127616.9077219963,0
2026-03-03 21:08:34.724242,9.4,84.5,14.8,4726068,10825119,339,1127621.926883936,0
2026-03-03 21:08:39.742207,7.1,84.5,14.8,4750485,10932070,339,1127626.9475147724,0
2026-03-03 21:08:44.761924,6.3,84.4,14.8,4778386,11017883,339,1127631.9663028717,0
2026-03-03 21:08:49.780838,3.5,84.3,14.8,4805367,11079193,339,1127636.9835822582,0
2026-03-03 21:08:54.798555,9.0,84.1,14.8,4827030,11146476,339,1127641.9984304905,0
2026-03-03 21:08:59.811427,10.0,84.2,14.8,4868561,11232256,339,1127647.0135903358,0
2026-03-03 21:09:04.828384,2.6,84.4,14.8,4896081,11404619,341,1127652.0303401947,0
2026-03-03 21:09:09.858775,7.8,84.4,14.8,4912334,11564685,341,1127657.0623996258,0
2026-03-03 21:09:14.897751,7.1,84.4,14.8,4961968,11719358,341,1127662.1017739773,0
2026-03-03 21:09:19.915950,6.4,84.3,14.8,5016103,11878413,341,1127667.1179542542,0
2026-03-03 21:09:24.932250,4.1,84.4,14.8,5074083,12021185,341,1127672.134881258,0
2026-03-03 21:09:29.949223,7.4,84.3,14.8,5102931,12116712,341,1127677.1508693695,0
2026-03-03 21:09:34.966491,3.7,84.4,14.8,5118571,12210333,341,1127682.1633167267,0
2026-03-03 21:09:39.976643,10.6,84.2,14.8,5144180,12272192,339,1127687.1794190407,0
2026-03-03 21:09:44.993513,4.3,84.2,14.8,5182389,12335148,339,1127692.2056217194,0
2026-03-03 21:09:50.019656,3.6,84.2,14.8,5195836,12403925,338,1127697.221817255,0
2026-03-03 21:09:55.037534,4.4,84.2,14.8,5219800,12457844,338,1127702.2417414188,0
2026-03-03 21:10:00.057609,4.4,84.2,14.8,5275817,12565416,338,1127707.2588527203,0
2026-03-03 21:10:05.073599,6.7,84.2,14.8,5315120,12665861,338,1127712.2785627842,0
2026-03-03 21:10:10.093627,9.1,84.3,14.8,5333981,12760451,338,1127717.292586565,0
2026-03-03 21:10:15.106624,5.3,84.2,14.8,5363378,12785735,338,1127722.3091583252,0
2026-03-03 21:10:20.123495,12.1,84.2,14.8,5384824,12882368,338,1127727.3301594257,0
2026-03-03 21:10:25.145385,4.4,84.3,14.8,5413385,12976789,338,1127732.3468129635,0
2026-03-03 21:10:30.163350,6.8,84.3,14.8,5449001,13028070,338,1127737.364752531,0
2026-03-03 21:10:35.180418,6.4,84.3,14.8,5470087,13078868,338,1127742.3817737103,0
2026-03-03 21:10:40.197309,12.8,84.3,14.8,5492508,13184893,338,1127747.4004778862,0
2026-03-03 21:10:45.214553,5.6,84.2,14.8,5526684,13238466,338,1127752.4107034206,0
2026-03-03 21:10:50.223514,5.3,84.3,14.8,5577756,13241940,338,1127757.4262070656,0
2026-03-03 21:10:55.240325,13.0,84.3,14.8,5605739,13306965,338,1127762.4423303604,0
2026-03-03 21:11:00.256212,8.0,84.3,14.8,5642757,13444923,338,1127767.4644937515,0
2026-03-03 21:11:05.278057,6.8,84.6,14.8,5690230,13641199,340,1127772.479683876,0
